category_name,category_url,status,error
"Фонарики электрошокеры",https://paralizator.com.ua/fonarik-shoker/,ok,
"Классические электрошокеры",https://paralizator.com.ua/elektroshokery-osa/,ok,
"Стреляющие электрошокеры",https://paralizator.com.ua/strelyayushie-elektroshokery/,ok,
"Дубинки электрошокеры",https://paralizator.com.ua/dubinki-elektroshokery/,ok,
"Женские электрошокеры",https://paralizator.com.ua/zhenskie-elektroshokery/,ok,
"Телефоны электрошокеры",https://paralizator.com.ua/telefony-elektroshokery/,ok,
"Электрошокеры Police",https://paralizator.com.ua/elektroshokery-police/,ok,
"Аксессуары и комплектующие",https://paralizator.com.ua/aksessuary-i-komplektuyushie/,ok,
"Аккумуляторы для электрошокеров",https://paralizator.com.ua/aksessuary-i-komplektuyushie/akkumulyatory-dlya-shokerov/,ok,
"Картриджи для электрошокеров",https://paralizator.com.ua/aksessuary-i-komplektuyushie/kartridzhi-dlya-shokerov/,ok,
"Ультразвуковые отпугиватели собак",https://paralizator.com.ua/ultrazvukovye-otpugivateli-sobak/,ok,
